Player,Predicted Points,Position,Team,Play Probability,Opponent Team,Price,At_Home,Season,Minutes,GW,FirstName
Andrew Robertson,0.7086789,DEF,Liverpool,1,Leeds,7.1,FALSE,2021,82.5,32,Robertson
Serge Aurier,0.69096506,DEF,Tottenham Hotspur,1,Everton,5.2,FALSE,2021,22.5,32,Aurier
Reece James,0.6220702,DEF,Chelsea,1,Brighton and Hove Albion,5,TRUE,2021,54,32,James
Kean Bryan,0.6215476,DEF,Sheffield United,1,Wolverhampton Wanderers,3.9,FALSE,2021,45,32,Bryan
Toby Alderweireld,0.6004411,DEF,Tottenham Hotspur,1,Southampton,5.4,TRUE,2021,36,32,Alderweireld
Oleksandr Zinchenko,0.5754267,DEF,Manchester City,1,Aston Villa,5.5,FALSE,2021,52,32,Zinchenko
Andreas Christensen,0.549212,DEF,Chelsea,1,Brighton and Hove Albion,4.7,TRUE,2021,59.25,32,Christensen
Jọo Pedro Cavaco Cancelo,0.5047079,DEF,Manchester City,1,Aston Villa,6,FALSE,2021,48.8,32,Cancelo
Joe Rodon,0.48297417,DEF,Tottenham Hotspur,1,Everton,5,FALSE,2021,54,32,Rodon
Erik Pieters,0.46244904,DEF,Burnley,1,Manchester United,4.3,FALSE,2021,49.66666667,32,Pieters
Charlie Taylor,0.38531372,DEF,Burnley,1,Manchester United,4.4,FALSE,2021,39.66666667,32,Taylor
Kieran Tierney,0.32482865,DEF,Arsenal,0,Fulham,5.2,TRUE,2021,0,32,Tierney
Dan Burn,0.28357542,DEF,Brighton and Hove Albion,1,Chelsea,4.2,FALSE,2021,34.5,32,Burn
Jack Stephens,0.25625753,DEF,Southampton,1,Tottenham Hotspur,4.6,FALSE,2021,12.4,32,Stephens
Angelo Ogbonna,0.2166443,DEF,West Ham United,0,Newcastle United,4.7,FALSE,2021,0,32,Ogbonna
Wes Morgan,0.17901549,DEF,Leicester City,0.75,West Bromwich Albion,4.4,TRUE,2021,0,32,Morgan
Branislav Ivanovic,0.15064448,DEF,West Bromwich Albion,0,Leicester City,4.4,FALSE,2021,0,32,Ivanovic
Chris Basham,0.111035705,DEF,Sheffield United,0,Wolverhampton Wanderers,4.6,FALSE,2021,0,32,Basham
Virgil van Dijk,0.075812496,DEF,Liverpool,0,Leeds,6.2,FALSE,2021,0,32,van Dijk
Jamal Lewis,0.06938207,DEF,Newcastle United,1,West Ham United,4.1,TRUE,2021,0,32,Lewis
Phil Bardsley,0.06922586,DEF,Burnley,1,Manchester United,4.4,FALSE,2021,0,32,Bardsley
Kevin Long,0.06269735,DEF,Burnley,0,Manchester United,4.3,FALSE,2021,0,32,Long
Christian Fuchs,0.057885576,DEF,Leicester City,1,West Bromwich Albion,4.5,TRUE,2021,0,32,Fuchs
DeAndre Yedlin,0.057885576,DEF,Newcastle United,0,West Ham United,4.3,TRUE,2021,0,32,Yedlin
Ryan Bennett,0.05587709,DEF,Wolverhampton Wanderers,0,Sheffield United,4.4,TRUE,2021,0,32,Bennett
Sokratis Papastathopoulos,0.05587709,DEF,Arsenal,0,Fulham,4.8,TRUE,2021,0,32,Sokratis
Alfie Mawson,0.053789187,DEF,Fulham,0,Arsenal,4.3,FALSE,2021,0,32,Mawson
David Luiz Moreira Marinho,0.048420653,DEF,Arsenal,0,Fulham,5.4,TRUE,2021,0,32,David Luiz
Ki-Jana Hoever,0.044536248,DEF,Wolverhampton Wanderers,1,Sheffield United,4.4,TRUE,2021,0.25,32,Hoever
Chris Smalling,0.043087993,DEF,Manchester United,0,Burnley,4.9,TRUE,2021,0,32,Smalling
Joe Bryan,0.042659573,DEF,Fulham,1,Arsenal,4.5,FALSE,2021,0,32,Bryan
Adam Webster,0.040189788,DEF,Brighton and Hove Albion,1,Chelsea,4.3,FALSE,2021,0,32,Webster
Kieran Gibbs,0.035312064,DEF,West Bromwich Albion,1,Leicester City,4.3,FALSE,2021,0,32,Gibbs
Phil Jones,0.03345153,DEF,Manchester United,0,Burnley,4.8,TRUE,2021,0,32,Jones
Ben Davies,0.030792002,DEF,Tottenham Hotspur,0,Everton,4.5,FALSE,2021,0,32,Davies
Danny Rose,0.024750918,DEF,Tottenham Hotspur,0,Southampton,4.7,TRUE,2021,0,32,Rose
Sead Kolasinac,0.024750918,DEF,Arsenal,0,Fulham,4.8,TRUE,2021,0,32,Kolasinac
Timothy Fosu-Mensah,0.02395506,DEF,Manchester United,0,Burnley,4.3,TRUE,2021,0,32,Fosu-Mensah
Jonjoe Kenny,0.02395506,DEF,Everton,0,Tottenham Hotspur,4.3,TRUE,2021,0,32,Kenny
Emerson Palmieri dos Santos,0.02395506,DEF,Chelsea,1,Brighton and Hove Albion,4.7,TRUE,2021,0,32,Emerson
Neil Taylor,0.02395506,DEF,Aston Villa,1,Manchester City,4.2,TRUE,2021,0,32,Taylor
Joseph Gomez,0.020654518,DEF,Liverpool,0,Leeds,5.2,FALSE,2021,0,32,Gomez
Danny Rose,0.020654518,DEF,Tottenham Hotspur,0,Everton,4.7,FALSE,2021,0,32,Rose
Maxime Le Marchand,0.01985866,DEF,Fulham,0,Arsenal,4.1,FALSE,2021,0,32,Le Marchand
Tim Ream,0.01985866,DEF,Fulham,1,Arsenal,4.2,FALSE,2021,0,32,Ream
Denis Odoi,0.01985866,DEF,Fulham,1,Arsenal,4.2,FALSE,2021,0,32,Odoi
Florian Lejeune,0.016170515,DEF,Newcastle United,0,West Ham United,4.3,TRUE,2021,0,32,Lejeune
Ryan Sessegnon,0.016170515,DEF,Tottenham Hotspur,0,Southampton,4.7,TRUE,2021,0,32,Sessegnon
Marcos Rojo,0.016170515,DEF,Manchester United,0,Burnley,4.8,TRUE,2021,0,32,Rojo
Ryan Sessegnon,0.012074118,DEF,Tottenham Hotspur,0,Everton,4.7,FALSE,2021,0,32,Sessegnon
Ben Gibson,0.012074118,DEF,Burnley,0,Manchester United,3.9,FALSE,2021,0,32,Gibson
Jack O'Connell,0.012074118,DEF,Sheffield United,0,Wolverhampton Wanderers,4.7,FALSE,2021,0,32,O'Connell
