Player,Predicted Points,Position,Team,Play Probability,Opponent Team,Price,At_Home,Season,Gw,FirstName
Fernando Luiz Rosa,2.219096,DEF,Manchester City,1,Leicester City,5.4,FALSE,2021,30,Fernandinho
George Baldock,2.1583242,DEF,Sheffield United,1,Leeds,4.9,FALSE,2021,30,Baldock
Aaron Cresswell,2.1256366,DEF,West Ham United,1,Wolverhampton Wanderers,5.9,FALSE,2021,30,Cresswell
Ruben Santos Gato Alves Dias,2.1170127,DEF,Manchester City,1,Leicester City,6.1,FALSE,2021,30,Dias
Dan Burn,1.9804746,DEF,Brighton and Hove Albion,0.75,Manchester United,4.2,FALSE,2021,30,Burn
Antonee Robinson,1.9001992,DEF,Fulham,1,Aston Villa,4.4,FALSE,2021,30,Robinson
Andrew Robertson,1.8778857,DEF,Liverpool,1,Arsenal,7.1,FALSE,2021,30,Robertson
Andreas Christensen,1.8498679,DEF,Chelsea,1,West Bromwich Albion,4.7,TRUE,2021,30,Christensen
Marcos Alonso,1.8267361,DEF,Chelsea,1,West Bromwich Albion,5.7,TRUE,2021,30,Alonso
Darnell Furlong,1.6038022,DEF,West Bromwich Albion,1,Chelsea,4.5,FALSE,2021,30,Furlong
Hector Bellerin,1.391821,DEF,Arsenal,1,Liverpool,5.1,TRUE,2021,30,BellerÃ­n
Gabriel MagalhÃ£es,1.391821,DEF,Arsenal,1,Liverpool,4.9,TRUE,2021,30,Gabriel
John Stones,1.2689567,DEF,Manchester City,1,Leicester City,5.3,FALSE,2021,30,Stones
Rayan Ait Nouri,1.233931,DEF,Wolverhampton Wanderers,1,West Ham United,5,TRUE,2021,30,Ait Nouri
Eric Bailly,1.1745371,DEF,Manchester United,1,Brighton and Hove Albion,4.8,TRUE,2021,30,Bailly
Kurt Zouma,1.1661944,DEF,Chelsea,1,West Bromwich Albion,5.3,TRUE,2021,30,Zouma
Paul Dummett,1.1612235,DEF,Newcastle United,1,Tottenham Hotspur,4.4,TRUE,2021,30,Dummett
Ben Davies,1.1002859,DEF,Liverpool,1,Arsenal,4.8,FALSE,2021,30,Davies
Calum Chambers,1.0912697,DEF,Arsenal,1,Liverpool,4.5,TRUE,2021,30,Chambers
Matthew Cash,1.0719225,DEF,Aston Villa,1,Fulham,5,TRUE,2021,30,Cash
Willy Boly,1.0615819,DEF,Wolverhampton Wanderers,1,West Ham United,5.4,TRUE,2021,30,Boly
Rob Holding,1.0607935,DEF,Arsenal,1,Liverpool,4.3,TRUE,2021,30,Holding
Fernando MarÃ§al,1.0589856,DEF,Wolverhampton Wanderers,0.25,West Ham United,4.7,TRUE,2021,30,MarÃ§al
Seamus Coleman,1.0505464,DEF,Everton,1,Crystal Palace,4.8,TRUE,2021,30,Coleman
Branislav Ivanovic,1.0390613,DEF,West Bromwich Albion,1,Chelsea,4.4,FALSE,2021,30,Ivanovic
Javier Manquillo,1.0352064,DEF,Newcastle United,1,Tottenham Hotspur,4.2,TRUE,2021,30,Manquillo
Neco Williams,1.0350213,DEF,Liverpool,1,Arsenal,3.8,FALSE,2021,30,Neco Williams
Ki-Jana Hoever,1.0182897,DEF,Wolverhampton Wanderers,1,West Ham United,4.4,TRUE,2021,30,Hoever
Kevin Long,1.0155722,DEF,Burnley,1,Southampton,4.3,FALSE,2021,30,Long
Joe Bryan,1.0064014,DEF,Fulham,1,Aston Villa,4.6,FALSE,2021,30,Bryan
