FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Stuart,Armstrong,MID,SOU,5500000,8,62,3.9,7.09090909090909E-07,1.12727272727273E-05,0,95348,0,16,0,0,0,3,0,11.3,1158,0,0,62,0,0.8,0,4.3,3,0,7,0,2,0.4,95194,0,-1,0,1,1304,1078,0,0,217,Aston Villa,Man Utd,Newcastle,Wolverhampton,Chelsea,3.3,3.1,3.7,4.4,4.2,3.8,4.8,4.2,3.2,4.8,4.2,4,0,3.3,2.4,4.4,3.8,3.2,67.2
Kepa,Arrizabalaga,GLK,CHE,4700000,0,6,0.3,6.38297872340426E-08,1.27659574468085E-06,0,168631,0,6,0,8,0,0,0,1.3,217,-3,0,6,3,0,0,0,0,0,0,0,0,0.6,44713,0,-1,0,0,270,94,0,0,40,Burnley,Tottenham,Sheffield United,Newcastle,Southampton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5
Christian,Atsu,MID,NEW,5200000,0,0,0,0,0,0,6050,0,0,0,0,0,0,0,0,9,-3,0,0,3,0,0,0,0,0,0,0,0,0,927,0,-1,0,0,0,0,0,0,0,Everton,Crystal Palace,Southampton,Chelsea,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick,Aubameyang,MID,ARS,11300000,0,71,4.2,3.71681415929204E-07,6.28318584070796E-06,0,3240639,2,16,0,0,0,5,0,6.3,15857,-7,0,71,7,0.5,0,5.2,6,0,7,0,1,6.7,560660,1,-1,0,1,1514,797,0,0,202,Man Utd,Wolverhampton,Aston Villa,Leeds United F.C.,Man City,0,0,3.8,3.6,3.2,4.3,5.2,3.1,4.2,3.2,5.8,4.2,3.7,4.9,4.4,4.4,3.7,4,101.8
Serge,Aurier,DEF,TOT,5200000,1,47,4.3,8.26923076923077E-07,9.03846153846154E-06,0,393561,0,12,0,0,0,2,0,9,2617,-3,0,47,3,0.5,0,2.8,2,0,3,0,1,1.8,249718,0,-1,0,0,918,2924,0,0,206,Brighton,Chelsea,West Brom,Man City,West Ham,5.2,4.2,5.1,5.7,5.8,4.5,5.5,6,4.3,4.4,5,5,0,4.6,5,5.7,5.1,5.5,49.7
Charlie,Austin,FWD,WBA,5100000,0,5,1,1.96078431372549E-07,9.80392156862745E-07,0,71447,0,5,0,0,0,0,0,1,216,-4,0,5,4,0,0,0.2,0,0,0,0,0,0.2,16185,0,-1,0,0,135,0,0,0,10,Fulham,Sheffield United,Tottenham,Man Utd,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Jordan,Ayew,FWD,CRY,5600000,4,37,2.3,4.10714285714286E-07,6.60714285714286E-06,0,491128,0,20,0,0,0,1,0,6.6,1567,-4,0,37,4,0.4,0,2,2,0,2,0,2,1.5,145977,0,-1,0,0,868,1502,0,0,104,Wolverhampton,Newcastle,Leeds United F.C.,Burnley,Brighton,2.1,2,1.8,1.9,2,2.3,1.7,2.4,1.9,1.8,1.8,1.3,1.7,1.7,2,1.7,1.7,1.6,41.2
Luke,Ayling,DEF,LEE,4500000,2,46,2.4,5.33333333333333E-07,1.02222222222222E-05,0,403640,3,35,0,0,0,0,0,10.2,7224,0,0,46,0,0.3,0,1.3,1,0,6,0,0,2.7,325028,0,-1,0,0,1689,1207,0,0,350,Leicester,Everton,Crystal Palace,Arsenal,Wolverhampton,2.4,1.4,2.3,2.7,2.7,2.1,2.6,1.6,2.6,1.9,3.2,2.4,2.1,2.2,1.5,2.1,1.7,2.1,86.1
Cesar,Azpilicueta,DEF,CHE,5600000,7,38,1.9,3.39285714285714E-07,6.78571428571429E-06,0,445229,3,7,0,0,0,0,0,6.8,810,-4,0,38,4,0.6,0,3.2,2,0,5,0,1,2.4,90252,0,-1,0,0,770,1575,0,0,174,Burnley,Tottenham,Sheffield United,Newcastle,Southampton,1.4,1.3,1.3,1.3,1,1.6,1.1,1.3,1.7,1.7,1.4,1.3,1.6,1.8,2.2,1.6,1.4,1.6,37.2
Eric,Bailly,DEF,MUN,4900000,0,19,0.95,1.93877551020408E-07,3.87755102040816E-06,0,54790,2,11,0,0,0,0,0,3.9,6673,-1,0,19,1,0.4,0,2,4,0,2,0,0,0.5,68755,0,-1,0,0,548,402,0,0,119,Arsenal,Southampton,Everton,West Brom,Newcastle,0,0.5,0.5,0.7,0.5,0.5,0.9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.7,15.2
